compound,spacegroup,spacegroup_number,wyckoff_positions,atomic_species,number_of_atoms,cif_path,label
O5 Ti5,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
O6 Rb4,I -42 d,122,"8e,4c,4d,8e,8e,8e","['Ac', 'S']",40,cifs_linked/mp-32800.cif,TI
O7 Tc2,Pbca,61,"8c,8c,8c,8c,8c,8c,8c,8c,8c,8c,8c","['Ag', 'Hg', 'O', 'Se']",88,cifs_linked/mp-558763.cif,TI
Os2 U1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Os2 U1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
P1 Pr1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
P1 Sc3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
P1 Ta1,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
P1 Ta3,P 4 2 / n,86,"2a,2b,8g,8g,8g","['Ag', 'O', 'Sb']",28,cifs_linked/mp-1215022.cif,TI
P1 Ta3,P 4 2 / nbc,133,"16k,16k,16k,16k,16k,16k,8g,8f,8h,8i,16k,16k","['As', 'Cd']",160,cifs_linked/mp-1201202.cif,TI
P2 Pt5,C 2/ c,15,"4f,4f,4f,4f,4f,4f,4f,4f,4f,4f","['Ag', 'C', 'O']",40,cifs_linked/mp-654937.cif,TI
P2 Ta1,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
P2 Ti1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
P2 Zn1,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
P2 Zr1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
P3 Sr1,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
P3 Tc2,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
P3 Tc2,P -1,2,"2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,1g,1e,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i","['Ag', 'N', 'W']",82,cifs_linked/mp-1245378.cif,TI
P4 Ti7,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
P4 Zr7,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
P4 Zr7,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Pb1 S1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Pb1 S1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Pb1 S1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Pb1 U1,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
Pd3 U1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Pd4 S1,P -42 1 c,114,"4d,8e,8e,8e,2a,8e,8e","['Ag', 'H', 'N', 'O', 'S']",46,cifs_linked/mp-723002.cif,TI
Pr2 S3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Pt1 Y2,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Pt2 W1,Immm,71,"1a,2e,1b","['Ag', 'Pb', 'Pd']",4,cifs_linked/mp-1097539.cif,TI
Pt3 U1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Pt5 U1,F -43 m,216,"1a,1c,1d","['Ac', 'F', 'O']",3,cifs_linked/mp-36526.cif,TI
Pu1 S1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Pu1 S2,P 4/ nmm,129,"2c,2c,2a","['Ac', 'Br', 'O']",6,cifs_linked/mp-30274.cif,TI
Re2 U1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Re2 Y1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Rh1 V1,Cmmm,65,"1d,2e,1a,2k,4p","['Ag', 'Sb', 'Te']",10,cifs_linked/mp-1215084.cif,TI
Rh1 Y1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
S1 Sn1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
S1 Ta2,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
S1 Ta6,C 2/ c,15,"4f,4f,4f,4f,4f,4f,4f,4f,4f,4f","['Ag', 'C', 'O']",40,cifs_linked/mp-654937.cif,TI
S1 Ta6,P -1,2,"2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,1g,1e,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i,2i","['Ag', 'N', 'W']",82,cifs_linked/mp-1245378.cif,TI
S1 Ti1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
S1 Ti2,Pnnm,58,"2d,4e,2b,8h,4f,4g,8h,4g,4g,8h,8h","['Ag', 'O', 'W']",56,cifs_linked/mp-504466.cif,TI
S1 Zr2,Pnnm,58,"2d,4e,2b,8h,4f,4g,8h,4g,4g,8h,8h","['Ag', 'O', 'W']",56,cifs_linked/mp-504466.cif,TI
S2 Ta1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
S2 Ti1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
S2 Ti1,Pa -3,205,"8c,24d,24d,24d,24d","['Ag', 'B', 'Cl']",104,cifs_linked/mp-567334.cif,TI
S2 Ti1,Pnnm,58,"2d,4e,2b,8h,4f,4g,8h,4g,4g,8h,8h","['Ag', 'O', 'W']",56,cifs_linked/mp-504466.cif,TI
S2 Ti1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
S2 Ti1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
S2 Yb1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
S2 Yb1,P 4/ nmm,129,"2c,2c,2a","['Ac', 'Br', 'O']",6,cifs_linked/mp-30274.cif,TI
S2 Zr9,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
S3 Ti8,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
S3 Tm2,P 2 1 / m,11,"2e,2e,4f,4f,4f,4f,2e,4f,2e,2e,2e,2e,2e,2e,2e,4f,2e,2e,4f,2e,4f,2e,2e,2e","['Ag', 'As', 'I', 'O']",64,cifs_linked/mp-1199256.cif,TI
S3 Tm2,P 2 1 / m,11,"2e,2e,4f,4f,4f,4f,2e,4f,2e,2e,2e,2e,2e,2e,2e,4f,2e,2e,4f,2e,4f,2e,2e,2e","['Ag', 'As', 'I', 'O']",64,cifs_linked/mp-1199256.cif,TI
S3 Tm2,P 2 1 / m,11,"2e,2e,4f,4f,4f,4f,2e,4f,2e,2e,2e,2e,2e,2e,2e,4f,2e,2e,4f,2e,4f,2e,2e,2e","['Ag', 'As', 'I', 'O']",64,cifs_linked/mp-1199256.cif,TI
S3 Tm2,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
S3 Yb2,R -3 c,167,"4c,6e","['Ac', 'S']",10,cifs_linked/mp-977351.cif,TI
S3 Yb2,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
S4 Yb3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Sb1 V3,Pm -3 n,223,"8e,2a,6b,6c,12f","['Ba', 'Ce', 'Cu', 'O']",34,cifs_linked/mp-1096779.cif,TI
Sb2 V3,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Se2 U1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Se3 U2,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Se5 U3,I 4/ mcm,140,"2d,2c,4e,8k,4f,8l","['Ag', 'As', 'F', 'Xe']",28,cifs_linked/mp-557631.cif,TI
Se5 U3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Si1 U1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Si1 U3,I 4/ mcm,140,"2d,2c,4e,8k,4f,8l","['Ag', 'As', 'F', 'Xe']",28,cifs_linked/mp-557631.cif,TI
Si1 V2,I 4/ mcm,140,"2d,2c,4e,8k,4f,8l","['Ag', 'As', 'F', 'Xe']",28,cifs_linked/mp-557631.cif,TI
Si2 U1,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
Si3 V1,I -4,82,"1d,1b,1a,4g","['Ag', 'Hg', 'I']",7,cifs_linked/mp-23485.cif,TI
Si3 Y1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Si4 Y5,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
Si5 V6,Ibam,72,"2b,4j,2c","['Ag', 'N']",8,cifs_linked/mp-2247.cif,TI
Si5 V6,Immm,71,"1a,2e,1b","['Ag', 'Pb', 'Pd']",4,cifs_linked/mp-1097539.cif,TI
Sn3 U1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Te1 U1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Te2 U1,Immm,71,"1a,2e,1b","['Ag', 'Pb', 'Pd']",4,cifs_linked/mp-1097539.cif,TI
Te3 U1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Te3 U2,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Te5 U1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Te5 U3,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Tl5 Y3,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Ag1 Eu1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
Ag1 Ga1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Ag1 In1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Ag1 Li1,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
Ag1 Li1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Ag1 Pr1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Ag1 Pr1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Ag1 Pr1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Ag2 Ca1,Imma,74,"2a,2d,4i,4h","['Ag', 'As', 'Br']",12,cifs_linked/mp-2646989.cif,TI
Ag2 Ce1,Imma,74,"2a,2d,4i,4h","['Ag', 'As', 'Br']",12,cifs_linked/mp-2646989.cif,TI
Ag2 Er1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Ag2 Gd1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Ag2 Nd1,Imma,74,"2a,2d,4i,4h","['Ag', 'As', 'Br']",12,cifs_linked/mp-2646989.cif,TI
Ag2 Si1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Ag2 Te1,P 2 1 / c,14,"2b,4e,4e,4e,4e,4e","['Ag', 'Au', 'F']",22,cifs_linked/mp-18125.cif,TI
Ag2 Yb1,Imma,74,"2a,2d,4i,4h","['Ag', 'As', 'Br']",12,cifs_linked/mp-2646989.cif,TI
Ag2 Yb1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Ag2 Yb1,Imma,74,"2a,2d,4i,4h","['Ag', 'As', 'Br']",12,cifs_linked/mp-2646989.cif,TI
Ag2 Zr1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Ag3 Sb1,Pmmn,59,"2e,2e","['Ag', 'Br']",4,cifs_linked/mp-2034510.cif,TI
Ag3 Tm1,Pmmn,59,"2e,2e","['Ag', 'Br']",4,cifs_linked/mp-2034510.cif,TI
Ag5 Eu1,P 6/ mmm,191,"1a,2e","['Au', 'C']",3,cifs_linked/mp-1214766.cif,TI
Al1 Au1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Al1 Au1,P 2 1 / m,11,"2e,2e,4f,4f,4f,4f,2e,4f,2e,2e,2e,2e,2e,2e,2e,4f,2e,2e,4f,2e,4f,2e,2e,2e","['Ag', 'As', 'I', 'O']",64,cifs_linked/mp-1199256.cif,TI
Al1 Ce1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Al1 Ce3,P 2 1 / m,11,"2e,2e,4f,4f,4f,4f,2e,4f,2e,2e,2e,2e,2e,2e,2e,4f,2e,2e,4f,2e,4f,2e,2e,2e","['Ag', 'As', 'I', 'O']",64,cifs_linked/mp-1199256.cif,TI
Al1 Co1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Al1 Co1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Al1 Cu1,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
Al1 Dy1,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
Al1 Eu1,Pmmn,59,"2e,2e","['Ag', 'Br']",4,cifs_linked/mp-2034510.cif,TI
Al1 Gd1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Al1 Gd1,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
Al1 Ir1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Al1 Ir1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Al1 La1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Al1 Lu1,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
Al1 Pr1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Al1 Pr1,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
Al1 Pt2,Pmma,51,"4i,2f,2d,4j,2e,2e","['Ag', 'Br', 'Hg', 'S']",16,cifs_linked/mp-560067.cif,TI
Al1 Pt3,P 4/ mbm,127,"8i,2d,8i,8i,8j,4g,2c","['Al', 'F']",40,cifs_linked/mp-555026.cif,TI
Al1 Sc1,Pm -3 m,221,"1a,1b,3c","['Ac', 'Al', 'O']",5,cifs_linked/mp-1183115.cif,TI
Al1 Sc1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Al1 Sc1,Pbam,55,"4h,8i,4g,4g,8i,4g","['Ag', 'As', 'Hg', 'O']",32,cifs_linked/mp-558188.cif,TI
Al1 Tb1,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
Al1 Tm1,Pbcm,57,"4d,8e,4d,8e,4d,8e,8e,8e,8e,8e,8e,4c,8e,8e,4d","['Ag', 'Mo', 'O', 'Se']",100,cifs_linked/mp-558550.cif,TI
Al12 W1,Im -3,204,"4c,12g,12g,3b,24h,6e,1a","['Al', 'C', 'H', 'O']",62,cifs_linked/mp-1199608.cif,TI
Al2 Ba1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Al2 Ce1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Al2 Er1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Al2 Hf1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Al2 Hf3,P 4 2 / mnm,136,"4f,4g","['B', 'N']",8,cifs_linked/mp-13151.cif,TI
Al2 Lu3,P 4 2 / mnm,136,"4f,4g","['B', 'N']",8,cifs_linked/mp-13151.cif,TI
Al2 Mg1,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
Al2 Pu1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Al2 Sr1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Al2 Th1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Al2 Th1,P 6/ mmm,191,"1a,2e","['Au', 'C']",3,cifs_linked/mp-1214766.cif,TI
Al2 Ti1,Cmmm,65,"1d,2e,1a,2k,4p","['Ag', 'Sb', 'Te']",10,cifs_linked/mp-1215084.cif,TI
Al2 Ti1,I 4 1 / amd,141,"2b,2a,4e","['Ag', 'Bi', 'S']",8,cifs_linked/mp-1173060.cif,TI
Al2 Yb1,Fd -3 m,227,"4c,2b,8e","['Ag', 'Mo', 'O']",14,cifs_linked/mp-19318.cif,TI
Al2 Zr1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Al2 Zr1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Al2 Zr3,P 4 2 / mnm,136,"4f,4g","['B', 'N']",8,cifs_linked/mp-13151.cif,TI
Al3 Hf1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Al3 Hf1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Al3 Sc1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Al3 Tb1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Al3 Tb1,R -3 m,166,"3b,1a,1a,1a","['Ag', 'Au', 'S']",6,cifs_linked/mp-34460.cif,TI
Al3 Zr1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Al4 Cu9,P -43 m,215,"1b,1a,4e,4e","['Ag', 'B', 'C', 'N']",10,cifs_linked/mp-10413.cif,TI
Al4 Nd1,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
Al4 Ni3,Ia -3 d,230,"8a,12c,12d,48h","['Al', 'Cd', 'Ge', 'O']",80,cifs_linked/mp-1214967.cif,TI
Al6 Fe1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Al6 Ru1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
Am1 As1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Am1 Bi1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Am1 Os2,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
Am1 Sb1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
Ar1 Mg2,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
As1 Ba2,I 4/ mmm,139,"1a,2d,1b","['Ac', 'F']",4,cifs_linked/mp-985278.cif,TI
As1 Co1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
As1 Co1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
As1 Cu3,P -3 c 1,165,"4d,2b,6f,12g,12g,12g,12g,6f,12g","['Al', 'O', 'P']",78,cifs_linked/mp-559996.cif,TI
As1 Cu3,I -43 d,220,"24e,6a,8c,24e,8c,6b","['Ag', 'Cl', 'P', 'S']",76,cifs_linked/mp-560328.cif,TI
As1 Eu1,P -62 m,189,"3f,6k,3f,3g,2c,6j,6k,3f,3g,1a","['Ba', 'Cl', 'F']",36,cifs_linked/mp-560641.cif,TI
As1 Hf3,C 2/ c,15,"4f,4f,4f,4f,4f,4f,4f,4f,4f,4f","['Ag', 'C', 'O']",40,cifs_linked/mp-654937.cif,TI
As1 In1,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
As1 La1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
As1 Mn1,P 6 3 / mmc,194,"2d,6h","['Ac', 'I']",8,cifs_linked/mp-861867.cif,TI
As1 Mn1,Pnma,62,"4a,4c,8d,4c,8d,8d,8d,4c,4c,4c,4c,4c,4c","['Ag', 'Mo', 'O']",68,cifs_linked/mp-1205258.cif,TI
As1 Mn3,Cmcm,63,"8h,2c,8h,8h,4g,2c,8h,4g,4g,4f,4f,4e,4g,4d","['Ag', 'Br', 'Te']",68,cifs_linked/mp-568392.cif,TI
As1 Na1,P 4/ mmm,123,"2a,4g,4f,4e,2c","['Al', 'F', 'Tl']",16,cifs_linked/mp-1539038.cif,TI
As1 Pa1,Fm -3 m,225,"1a,2c,1b","['Ac', 'F']",4,cifs_linked/mp-977360.cif,TI
As1 Pd3,I -4,82,"1d,1b,1a,4g","['Ag', 'Hg', 'I']",7,cifs_linked/mp-23485.cif,TI
As1 Pd5,C 2/ m,12,"2f,4j,2i,1a,4j,2i,2i,4j,2i","['Ag', 'Br', 'Hg', 'P']",23,cifs_linked/mp-571425.cif,TI
